id	title	publisher	dateOfPublication	placeOfPublication	series
9338929a-2d9b-48a0-8b55-d84d4e01a80d	Counseling for diversity : a guide for school counselors and related professionals	Allyn and Bacon,	©1995.	Boston :	
c61f9a4c-948a-4e72-ac3b-232d9b02caf3	The harafish	Anchor Books,	1995.	New York :	
a0af1c53-65ac-4701-a44f-e454a27ec73c	The first printers of York, Pennsylvania : including the text of some of the imprints of the York press during the early days of the Revolutionary War	Maple Press,	1940.	York, Pa. :	
fa237621-b368-4aa3-8751-e36ca9e5bd70	Pop. 1280	Vintage Books,	1990, ©1964.	New York :	
2c5052fc-cb17-4790-9f90-5e76cb441dec	Le bonheur fou : roman	Gallimard,	[1957]	Paris :	
b25add49-7056-4fe1-a054-70d00cc1b7a0	Emblems of mind : the inner life of music and mathematics	Times Books/Random House,	©1995.	New York :	
d7d99779-2993-44f7-817f-6c02295b339b	Education and society in the new Russia	M.E. Sharpe,	©1994.	Armonk, N.Y. :	
f2945ad7-ef3f-4a4b-af27-3b856b5b9889	New color/new work : eighteen photographic essays	Abbeville Press,	©1984.	New York :	
fdc965a1-5ba6-4361-8b1e-d0c962295034	A visual dictionary of architecture	Van Nostrand Reinhold,	©1995.	New York :	
5c2b2920-73f1-42f6-a2b5-64d7e3da44f2	The death of intimacy : barriers to meaningful interpersonal relationships	Haworth Press,	©1995.	New York :	
1cb9b674-5683-4fb7-ab3e-2393f571a733	Breath, eyes, memory	Vintage Books,	1995.	New York :	
c29e8bfb-a9cf-48f1-a5fa-cfaf8c00bcac	Martin Luther : his road to Reformation, 1483-1521	Fortress Press,	©1985.	Philadelphia :	
1de2114d-26df-4f84-a5db-ccf03f30dcb6	Four ways to forgiveness	HarperPrism,	©1995.	New York, N.Y. :	
92525de8-0d19-47cb-99c2-475bfe7fb87a	The morning chair	Clarion Books,	©1995.	New York :	
e234830e-e5aa-42dd-a940-6d1609736ac8	Roger Martin Du Gard : the novelist and history	Cornell University Press,	[1967]	Ithaca, N.Y. :	
e708c41f-a318-4321-9275-ba3ab143b682	Grand spelling : a grand spelling bee will be held at Fairview School, Penn township, about 1 mile North of Erb's Meeting House, and about 1/2 mile north of the Manheim and Lititz Turnpike, on Saturday evening, March 15, 1913	[publisher not identified],	1913.	[Place of publication not identified] :	
c763ca5f-a71a-4af5-85c8-7e3c68a0fedf	Satanic panic : the creation of a contemporary legend	Open Court,	©1993	Chicago :	
2ade92df-65ca-49b0-8a1e-e12128468963	Jump at the sun : Zora Neale Hurston's cosmic comedy	University of Illinois Press,	©1994.	Urbana :	
a11ec2b3-b6f2-4cfe-8895-586db3b41a11	Unequal struggle : class, gender, race, and power in the U.S. Congress	Westview Press,	1994.	Boulder :	
82ec4160-5500-4666-9fc5-7f283abd2229	Andre Gide: his life and art	Macmillan,	[©1965]	New York :	
b1156191-ae47-4c4b-a4a1-80e12783ac81	Toxic air pollution handbook	Van Nostrand Reinhold,	©1994.	New York :	
425f8972-38d2-4d61-9a8c-2c2a9db57a52	Mating behavior of Tropocyclops prasinus (Copepoda: Cyclopoida)	null	1995.	null	
c4001fb1-12c0-4eb7-906f-c9416bd0ce8b	Reducing earthquake losses	U.S. Congress, Office of Technology Assessment :	[1995]	Washington, D.C. :	
894ee537-afc9-445d-8856-e3e401838ef5	A Companion to the philosophy of mind	Blackell Reference,	1994.	Oxford, UK ;	
13eb9ccc-3011-4b69-9414-99029462de96	Linden Hall Moravian seminary for young ladies : at Litiz (sic Lititz), Lancaster County, Pa. / c Rev. W. C. Reichel	King & Baird, printers,	1863.	Philadelphia :	
70c3031b-1a6f-470c-a007-453a4e18e0cb	Jealousy : a novel	Grove Press,	[1959]	New York :	
309cdfa2-1ec8-4b12-af35-e9fd0230be9f	Critical issues in U.S. health reform	Westview Press,	1994.	Boulder, Colo. :	
0d1c0363-9e3e-49a8-bd40-b175ae7cebec	Jennison's Jayhawkers : a Civil War cavalry regiment and its commander	Louisiana State University Press,	[1974], ©1973.	Baton Rouge :	
